,Center,Left,Left Center,Right,Right Center
is_save,-0.42271820248466174,-0.47659709618789453,-0.4381726625309919,-0.3727176652825913,-0.4080219782446322
is_save,-0.42402077339933325,-0.44842724054450395,-0.44693165948917063,-0.37117966979614747,-0.4014364163541658
is_save,-0.4243137195864002,-0.4588402297727872,-0.42758144053455777,-0.37110082772999287,-0.40203410017064656
is_save,-0.4248071056914476,-0.4530726771208046,-0.4434840240865392,-0.3680816346927366,-0.4014089506755362
is_save,-0.4236307926131485,-0.46696879965166205,-0.4354136259147813,-0.37230629499886836,-0.4081913932028873
is_save,-0.4179265788908424,-0.44115206258643536,-0.42379904301421106,-0.3731886588794856,-0.40771546575106576
is_save,-0.42641703276755916,-0.4492843647537867,-0.4320295294977957,-0.36780644413091373,-0.40559682888105053
is_save,-0.41949384170261234,-0.4534187594933818,-0.4336397764199827,-0.3787793475322923,-0.4061282669007293
is_save,-0.4211439796071455,-0.44018073612752673,-0.43734297722076776,-0.370704195534183,-0.40960748015196646
is_save,-0.4247462836656235,-0.4443378361699943,-0.4333225998056724,-0.3737885261244482,-0.407294328875185
is_save,-0.4273529874687763,-0.46971430558612326,-0.4309105312245408,-0.3699929100121896,-0.4053788627198432
is_save,-0.42573576529305623,-0.4391556833490915,-0.4349204867264091,-0.3745064641634592,-0.4135163064375988
is_save,-0.42249986115075877,-0.44953544990754296,-0.435228292550277,-0.37800220185009026,-0.4069780258170126
is_save,-0.4249709273558058,-0.4588743928730668,-0.4452594164890682,-0.3715583057327448,-0.4141921461589516
is_save,-0.42546924247555507,-0.43756163596697567,-0.43437340944863906,-0.37181622966988354,-0.40244368175105627
is_save,-0.4215419341563346,-0.45592337954644324,-0.4326232136587617,-0.3731566264987565,-0.4054450214521863
is_save,-0.42550375527069173,-0.4493343825824644,-0.43587544359408115,-0.3681412166061446,-0.41221475537025504
is_save,-0.4245061462685032,-0.47149385606391275,-0.43721663484697376,-0.3723414866132502,-0.41505122330001226
is_save,-0.42254495790507374,-0.4532663009568793,-0.43136585844184433,-0.3722119225364179,-0.4077277094661601
is_save,-0.42414670357609513,-0.47037620323665846,-0.43630038452579734,-0.38242505135806354,-0.4095531497792529
is_save,-0.4203607150011555,-0.4520431600921081,-0.44005552070765114,-0.3680045104750271,-0.4037377261336097
